panel_index	source_id	replicate	rng_seed
1	pmfs_23_24	1	2026093001
1	pmfs_23_24	2	2026093002
1	pmfs_23_24	3	2026093003
1	pmfs_23_24	4	2026093004
1	pmfs_23_24	5	2026093005
1	pmfs_23_24	6	2026093006
1	pmfs_23_24	7	2026093007
1	pmfs_23_24	8	2026093008
1	pmfs_23_24	9	2026093009
1	pmfs_23_24	10	2026093010
1	pmfs_23_24	11	2026093011
1	pmfs_23_24	12	2026093012
1	pmfs_23_24	13	2026093013
1	pmfs_23_24	14	2026093014
1	pmfs_23_24	15	2026093015
1	pmfs_23_24	16	2026093016
2	pmfs_19_34	1	2026093017
2	pmfs_19_34	2	2026093018
2	pmfs_19_34	3	2026093019
2	pmfs_19_34	4	2026093020
2	pmfs_19_34	5	2026093021
2	pmfs_19_34	6	2026093022
2	pmfs_19_34	7	2026093023
2	pmfs_19_34	8	2026093024
2	pmfs_19_34	9	2026093025
2	pmfs_19_34	10	2026093026
2	pmfs_19_34	11	2026093027
2	pmfs_19_34	12	2026093028
2	pmfs_19_34	13	2026093029
2	pmfs_19_34	14	2026093030
2	pmfs_19_34	15	2026093031
2	pmfs_19_34	16	2026093032
3	pmfs_11_6	1	2026093033
3	pmfs_11_6	2	2026093034
3	pmfs_11_6	3	2026093035
3	pmfs_11_6	4	2026093036
3	pmfs_11_6	5	2026093037
3	pmfs_11_6	6	2026093038
3	pmfs_11_6	7	2026093039
3	pmfs_11_6	8	2026093040
3	pmfs_11_6	9	2026093041
3	pmfs_11_6	10	2026093042
3	pmfs_11_6	11	2026093043
3	pmfs_11_6	12	2026093044
3	pmfs_11_6	13	2026093045
3	pmfs_11_6	14	2026093046
3	pmfs_11_6	15	2026093047
3	pmfs_11_6	16	2026093048
4	pmfs_12_27	1	2026093049
4	pmfs_12_27	2	2026093050
4	pmfs_12_27	3	2026093051
4	pmfs_12_27	4	2026093052
4	pmfs_12_27	5	2026093053
4	pmfs_12_27	6	2026093054
4	pmfs_12_27	7	2026093055
4	pmfs_12_27	8	2026093056
