arm,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,source_score,map_file
C,quadtree_14_31_1_1,14,31,1,1,-3.2000000178813934,1.5700002610683441,0.720747757478649024511,maps/quadtree_14_31_1_1.f32
C,quadtree_7_27_1_1,7,27,1,1,-5.3000001013278961,0.3700002133846283,0.000512479885558253448924,maps/quadtree_7_27_1_1.f32
C,quadtree_8_19_4_5,8,19,4,5,-4.5500000715255737,-1.4299998581409454,0.0010241367166224960301,maps/quadtree_8_19_4_5.f32
C,quadtree_19_27_2_2,19,27,2,2,-1.5499999523162842,0.52000021934509277,0.29975435855797690545,maps/quadtree_19_27_2_2.f32
C,quadtree_24_25_1_1,24,25,1,1,-0.19999989867210388,-0.22999981045722961,0.565622203852867726248,maps/quadtree_24_25_1_1.f32
C,quadtree_26_27_2_2,26,27,2,2,0.55000013113021851,0.52000021934509277,0.699017179039766656061,maps/quadtree_26_27_2_2.f32
C,quadtree_28_27_1_1,28,27,1,1,1.0000001490116119,0.3700002133846283,0.725030652424127372286,maps/quadtree_28_27_1_1.f32
C,quadtree_6_10_2_3,6,10,2,3,-5.4500001072883606,-4.429999977350235,0.0565401835863824158751,maps/quadtree_6_10_2_3.f32
C,quadtree_4_5_4_5,4,5,4,5,-5.7500001192092896,-5.6300000250339508,0.0569708893469640167972,maps/quadtree_4_5_4_5.f32
C,quadtree_15_10_1_2,15,10,1,2,-2.9000000059604645,-4.5799999833106995,0.709816889830363649603,maps/quadtree_15_10_1_2.f32
C,quadtree_17_10_1_2,17,10,1,2,-2.2999999821186066,-4.5799999833106995,0.709817053493390594493,maps/quadtree_17_10_1_2.f32
C,quadtree_19_14_1_1,19,14,1,1,-1.6999999582767487,-3.5299999415874481,0.0681042032386042428947,maps/quadtree_19_14_1_1.f32
C,quadtree_26_5_2_3,26,5,2,3,0.55000013113021851,-5.9300000369548798,0.720123688609987635243,maps/quadtree_26_5_2_3.f32
C,quadtree_26_1_2_4,26,1,2,4,0.55000013113021851,-6.9800000786781311,0.71565995740889792252,maps/quadtree_26_1_2_4.f32
C,quadtree_25_1_1_2,25,1,1,2,0.10000011324882507,-7.2800000905990601,0.710530778512930207003,maps/quadtree_25_1_1_2.f32
C,quadtree_24_3_2_5,24,3,2,5,-0.049999892711639404,-6.2300000488758087,0.718694977938237662132,maps/quadtree_24_3_2_5.f32
C,quadtree_23_3_1_2,23,3,1,2,-0.49999991059303284,-6.6800000667572021,0.715117534947959600743,maps/quadtree_23_3_1_2.f32
C,quadtree_21_4_2_1,21,4,2,1,-0.94999992847442627,-6.5300000607967377,0.722715494490305876592,maps/quadtree_21_4_2_1.f32
C,quadtree_20_3_1_2,20,3,1,2,-1.3999999463558197,-6.6800000667572021,0.715781736699989228068,maps/quadtree_20_3_1_2.f32
C,quadtree_16_2_1_2,16,2,1,2,-2.5999999940395355,-6.9800000786781311,0.709812969929045759041,maps/quadtree_16_2_1_2.f32
C,quadtree_17_3_1_2,17,3,1,2,-2.2999999821186066,-6.6800000667572021,0.709814772161010239671,maps/quadtree_17_3_1_2.f32
C,quadtree_14_4_3_1,14,4,3,1,-2.9000000059604645,-6.5300000607967377,0.709815581012062088114,maps/quadtree_14_4_3_1.f32
C,quadtree_15_5_3_5,15,5,3,5,-2.5999999940395355,-5.6300000250339508,0.709816669034079078125,maps/quadtree_15_5_3_5.f32
C,quadtree_26_14_2_3,26,14,2,3,0.55000013113021851,-3.2299999296665192,0.301208376377728126531,maps/quadtree_26_14_2_3.f32
C,quadtree_23_14_1_3,23,14,1,3,-0.49999991059303284,-3.2299999296665192,0.203714791133794876713,maps/quadtree_23_14_1_3.f32
C,quadtree_24_12_2_5,24,12,2,5,-0.049999892711639404,-3.5299999415874481,0.241343871521697917848,maps/quadtree_24_12_2_5.f32
C,quadtree_20_5_4_3,20,5,4,3,-0.94999992847442627,-5.9300000369548798,0.671872850767390020481,maps/quadtree_20_5_4_3.f32
C,quadtree_12_19_5_5,12,19,5,5,-3.2000000178813934,-1.4299998581409454,0.00423736256069943249068,maps/quadtree_12_19_5_5.f32
C,quadtree_21_25_1_4,21,25,1,4,-1.0999999344348907,0.22000020742416382,0.31766244937255260755,maps/quadtree_21_25_1_4.f32
C,quadtree_20_23_1_4,20,23,1,4,-1.3999999463558197,-0.37999981641769409,0.173720543029314613453,maps/quadtree_20_23_1_4.f32
C,quadtree_19_25_1_2,19,25,1,2,-1.6999999582767487,-0.079999804496765137,0.210412772417842634088,maps/quadtree_19_25_1_2.f32
C,quadtree_17_26_2_2,17,26,2,2,-2.1499999761581421,0.22000020742416382,0.275018478085075687597,maps/quadtree_17_26_2_2.f32
C,quadtree_21_33_4_1,21,33,4,1,-0.64999991655349731,2.170000284910202,0.722295124518490945194,maps/quadtree_21_33_4_1.f32
C,quadtree_26_35_2_2,26,35,2,2,0.55000013113021851,2.9200003147125244,0.277443256834188628295,maps/quadtree_26_35_2_2.f32
C,quadtree_21_34_5_3,21,34,5,3,-0.49999991059303284,2.7700003087520599,0.680208830109825776157,maps/quadtree_21_34_5_3.f32
C,quadtree_20_29_1_3,20,29,1,3,-1.3999999463558197,1.2700002491474152,0.449324893560755872621,maps/quadtree_20_29_1_3.f32
C,quadtree_15_31_5_1,15,31,5,1,-2.2999999821186066,1.5700002610683441,0.629755666534065863935,maps/quadtree_15_31_5_1.f32
C,quadtree_17_32_4_4,17,32,4,4,-1.8499999642372131,2.3200002908706665,0.712773656809502130288,maps/quadtree_17_32_4_4.f32
C,quadtree_15_32_2_4,15,32,2,4,-2.75,2.3200002908706665,0.715300291854010850785,maps/quadtree_15_32_2_4.f32
C,quadtree_18_36_2_1,18,36,2,1,-1.8499999642372131,3.0700003206729889,0.727996757734673628228,maps/quadtree_18_36_2_1.f32
C,quadtree_12_36_5_1,12,36,5,1,-3.2000000178813934,3.0700003206729889,0.725295298629966225681,maps/quadtree_12_36_5_1.f32
C,quadtree_8_24_4_4,8,24,4,4,-4.5500000715255737,-0.079999804496765137,0.000900938999965131156004,maps/quadtree_8_24_4_4.f32
C,quadtree_7_20_1_2,7,20,1,2,-5.3000001013278961,-1.5799998641014099,0.000978679623245563018631,maps/quadtree_7_20_1_2.f32
C,quadtree_2_19_5_3,2,19,5,3,-6.200000137090683,-1.7299998700618744,0.000945438475020407737989,maps/quadtree_2_19_5_3.f32
C,quadtree_9_32_1_3,9,32,1,3,-4.7000000774860382,2.170000284910202,0.721494032391540754607,maps/quadtree_9_32_1_3.f32
C,quadtree_10_36_2_1,10,36,2,1,-4.2500000596046448,3.0700003206729889,0.724843118389593621376,maps/quadtree_10_36_2_1.f32
C,quadtree_6_31_1_5,6,31,1,5,-5.6000001132488251,2.170000284910202,0.000486204575865489954306,maps/quadtree_6_31_1_5.f32
C,quadtree_5_29_1_3,5,29,1,3,-5.900000125169754,1.2700002491474152,0.000454957551863496704275,maps/quadtree_5_29_1_3.f32
C,quadtree_2_31_3_1,2,31,3,1,-6.5000001490116119,1.5700002610683441,0.000420347135087834856229,maps/quadtree_2_31_3_1.f32
C,quadtree_2_36_5_1,2,36,5,1,-6.200000137090683,3.0700003206729889,0.000336852728267157659079,maps/quadtree_2_36_5_1.f32
C,quadtree_9_31_5_1,9,31,5,1,-4.1000000536441803,1.5700002610683441,0.725318948277045687733,maps/quadtree_9_31_5_1.f32
C,quadtree_1_27_5_2,1,27,5,2,-6.5000001490116119,0.52000021934509277,0.00046478470212041312641,maps/quadtree_1_27_5_2.f32
C,quadtree_6_27_1_2,6,27,1,2,-5.6000001132488251,0.52000021934509277,0.000423722056621632430654,maps/quadtree_6_27_1_2.f32
C,quadtree_6_22_2_5,6,22,2,5,-5.4500001072883606,-0.52999982237815857,0.000436831951334630610967,maps/quadtree_6_22_2_5.f32
C,quadtree_1_18_1_4,1,18,1,4,-7.1000001728534698,-1.8799998760223389,0.00211336028441483548795,maps/quadtree_1_18_1_4.f32
C,quadtree_1_22_5_5,1,22,5,5,-6.5000001490116119,-0.52999982237815857,0.00054437141942515382013,maps/quadtree_1_22_5_5.f32
C,quadtree_20_10_1_5,20,10,1,5,-1.3999999463558197,-4.129999965429306,0.175500634304398473714,maps/quadtree_20_10_1_5.f32
C,quadtree_19_19_2_4,19,19,2,4,-1.5499999523162842,-1.5799998641014099,0.0655819231153288561753,maps/quadtree_19_19_2_4.f32
C,quadtree_22_27_4_2,22,27,4,2,-0.34999990463256836,0.52000021934509277,0.585559236272415613658,maps/quadtree_22_27_4_2.f32
C,quadtree_22_25_2_2,22,25,2,2,-0.64999991655349731,-0.079999804496765137,0.332104569773523521244,maps/quadtree_22_25_2_2.f32
C,quadtree_24_26_5_1,24,26,5,1,0.40000012516975403,0.070000201463699341,0.639792565585528824243,maps/quadtree_24_26_5_1.f32
C,quadtree_20_8_2_2,20,8,2,2,-1.2499999403953552,-5.1800000071525574,0.492608171393733422857,maps/quadtree_20_8_2_2.f32
C,quadtree_10_32_5_4,10,32,5,4,-3.8000000417232513,2.3200002908706665,0.728231739462917829491,maps/quadtree_10_32_5_4.f32
C,quadtree_2_18_3_1,2,18,3,1,-6.5000001490116119,-2.3299998939037323,0.00116785295200556871149,maps/quadtree_2_18_3_1.f32
C,quadtree_20_1_5_2,20,1,5,2,-0.79999992251396179,-7.2800000905990601,0.722156149097521398101,maps/quadtree_20_1_5_2.f32
C,quadtree_1_10_5_4,1,10,5,4,-6.5000001490116119,-4.2799999713897705,0.0565172224249206814446,maps/quadtree_1_10_5_4.f32
C,quadtree_6_13_2_3,6,13,2,3,-5.4500001072883606,-3.5299999415874481,0.0568152839246347731972,maps/quadtree_6_13_2_3.f32
C,quadtree_9_18_5_1,9,18,5,1,-4.1000000536441803,-2.3299998939037323,0.00263816790631169358794,maps/quadtree_9_18_5_1.f32
C,quadtree_14_18_3_1,14,18,3,1,-2.9000000059604645,-2.3299998939037323,0.00794618234287080345883,maps/quadtree_14_18_3_1.f32
C,quadtree_8_9_1_5,8,9,1,5,-5.0000000894069672,-4.429999977350235,0.0571411947815794093071,maps/quadtree_8_9_1_5.f32
C,quadtree_8_14_5_2,8,14,5,2,-4.4000000655651093,-3.3799999356269836,0.0570293434673554815184,maps/quadtree_8_14_5_2.f32
C,quadtree_1_5_3_5,1,5,3,5,-6.8000001609325409,-5.6300000250339508,0.0567628755914120971415,maps/quadtree_1_5_3_5.f32
C,quadtree_21_14_2_2,21,14,2,2,-0.94999992847442627,-3.3799999356269836,0.0981634287135634360153,maps/quadtree_21_14_2_2.f32
C,quadtree_2_32_4_4,2,32,4,4,-6.3500001430511475,2.3200002908706665,0.000517140493114249065942,maps/quadtree_2_32_4_4.f32
C,quadtree_1_1_5_4,1,1,5,4,-6.5000001490116119,-6.9800000786781311,0.067039301037058516826,maps/quadtree_1_1_5_4.f32
