event_id,robot_i,robot_j,robot_x,robot_y,hit,wind_speed_event,wind_direction_event,matching_absolute_windows,unique_state_sequences,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10
1,14,20,-3.1700000762939453,-1.75,0,0.045481503009796101,-0.55865347385406494,8,1,3,4,4,5,5,6,6,7,7,8
2,14,20,-3.1700000762939453,-1.75,0,0.045588780194520902,-1.2869385480880735,9,1,10,2,2,3,3,4,4,5,5,6
3,14,20,-3.1700000762939453,-1.75,0,0.065157890319824205,-1.7806330919265747,9,1,9,1,1,10,10,2,2,3,3,4
4,14,20,-3.1700000762939453,-1.75,0,0.066853240132331807,-1.6335660219192505,9,1,9,9,1,1,10,10,2,2,3,3
5,14,20,-3.1700000762939453,-1.75,0,0.067597165703773401,-0.51455533504486084,8,1,8,9,9,1,1,10,10,2,2,3
6,6,23,-5.6000003814697275,-0.82999992370605458,0,0.13650776445865631,0.28385302424430842,9,1,1,10,10,2,2,3,3,4,4,4
7,6,23,-5.6000003814697275,-0.82999992370605458,0,0.082096710801124503,2.3400278091430664,8,1,8,8,9,9,9,1,1,10,10,2
8,6,23,-5.6000003814697275,-0.82999992370605458,0,0.11116693913936609,1.6794580221176147,8,1,5,6,6,7,7,8,8,9,9,9
9,6,23,-5.6000003814697275,-0.82999992370605458,0,0.1657886207103729,0.38162735104560852,9,1,3,4,4,4,5,5,6,6,7,7
10,6,23,-5.6000003814697275,-0.82999992370605458,0,0.14654168486595151,0.31505516171455378,9,1,10,10,2,2,3,3,4,4,4,5
11,4,6,-6.2000002861022949,-5.9300003051757804,0,0.24688653647899619,1.4967353343963623,5,1,1,10,10,2,2,3,3,4,4,4
12,4,6,-6.2000002861022949,-5.9300003051757804,0,0.21061559021472931,1.6234737634658811,4,1,8,9,9,9,1,1,10,10,2,2
13,4,6,-6.2000002861022949,-5.9300003051757804,0,0.1785313189029693,1.8879340887069704,4,1,6,6,7,7,8,8,9,9,9,1
14,4,6,-6.2000002861022949,-5.9300003051757804,0,0.194867342710495,1.8524852991104128,9,1,4,4,5,5,6,6,7,7,8,8
15,4,6,-6.2000002861022949,-5.9300003051757804,0,0.207525759935379,1.8002387285232544,4,1,3,4,4,5,5,6,6,7,7,8
16,11,24,-4.1000003814697275,-0.52999973297119141,0,0.1699094474315643,-2.9789931774139404,10,1,4,4,5,5,6,6,7,7,8,8
17,11,24,-4.1000003814697275,-0.52999973297119141,0,0.18528150022029871,-2.8947327136993408,10,1,3,4,4,5,5,6,6,7,7,8
18,11,24,-4.1000003814697275,-0.52999973297119141,1,0.2006535530090332,-2.8143191337585449,9,1,3,3,4,4,5,5,6,6,7,7
19,11,24,-4.1000003814697275,-0.52999973297119141,0,0.22274884581565851,-2.8061478137969966,9,1,2,3,3,4,4,5,5,6,6,7
20,11,24,-4.1000003814697275,-0.52999973297119141,0,0.2448441684246063,-2.7980647087097168,9,1,2,2,3,3,4,4,5,5,6,6
