steady_ns,event_id,hit,concentration,wind_speed,wind_direction,robot_i,robot_j,robot_x,robot_y,obs_u_effective,obs_v_effective
63031702036634,1,0,0.090779885649680994,0.045481503009796101,-0.55865347385406494,14,20,-3.1700000762939453,-1.75,0.03856693186041496,-0.024107237147881568
63039429901751,2,0,0.023477330803871099,0.045588780194520902,-1.2869385480880735,14,20,-3.1700000762939453,-1.75,0.012767644938771961,-0.043764416165896602
63047036861226,3,0,4.1698171116877354e-05,0.065157890319824205,-1.7806330919265747,14,20,-3.1700000762939453,-1.75,-0.013572404733754215,-0.063728647409727807
63054848465993,4,0,6.2690673985343892e-08,0.066853240132331807,-1.6335660219192505,14,20,-3.1700000762939453,-1.75,-0.0041936024116854733,-0.066721581328711976
63062557223853,5,0,9.4251620397223235e-11,0.067597165703773401,-0.51455533504486084,14,20,-3.1700000762939453,-1.75,0.05884412020055544,-0.033267797176939472
63072174714179,6,0,3.1617893389178017e-14,0.13650776445865631,0.28385302424430842,6,23,-5.6000003814697275,-0.82999992370605458,0.1310452017921204,0.038229894647545587
63079790993838,7,0,5.6156649894069708e-17,0.082096710801124503,2.3400278091430664,6,23,-5.6000003814697275,-0.82999992370605458,-0.057105101517681493,0.058982008316254907
63087556042020,8,0,8.4428108537739822e-20,0.11116693913936609,1.6794580221176147,6,23,-5.6000003814697275,-0.82999992370605458,-0.012055830751676756,0.11051129038474961
63095337396243,9,0,1.2693251592436454e-22,0.1657886207103729,0.38162735104560852,6,23,-5.6000003814697275,-0.82999992370605458,0.15386175224754908,0.06174486174866467
63103153449654,10,0,1.9083533838618128e-25,0.14654168486595151,0.31505516171455378,6,23,-5.6000003814697275,-0.82999992370605458,0.13932879872000256,0.045408713377421875
63120573469829,11,0,0.0033230080734938001,0.24688653647899619,1.4967353343963623,4,6,-6.2000002861022949,-5.9300003051757804,0.018267951163417,0.24620975580769688
63128331648083,12,0,4.9959407988353632e-06,0.21061559021472931,1.6234737634658811,4,6,-6.2000002861022949,-5.9300003051757804,-0.011089558995582872,0.21032343788266267
63136138496764,13,0,7.511092192657996e-09,0.1785313189029693,1.8879340887069704,4,6,-6.2000002861022949,-5.9300003051757804,-0.055674695086201202,0.16962829998644757
63143785693754,14,0,1.3340478895174089e-11,0.194867342710495,1.8524852991104128,4,6,-6.2000002861022949,-5.9300003051757804,-0.054168921814390959,0.18718709668274655
63151543559006,15,0,2.0056600084634828e-14,0.207525759935379,1.8002387285232544,4,6,-6.2000002861022949,-5.9300003051757804,-0.047198532685270023,0.20208720778197231
63167792816327,16,0,0.079855248332023607,0.1699094474315643,-2.9789931774139404,11,24,-4.1000003814697275,-0.52999973297119141,-0.16766830859884577,-0.027505610665857591
63175562839298,17,0,0.064622119069099399,0.18528150022029871,-2.8947327136993408,11,24,-4.1000003814697275,-0.52999973297119141,-0.1796646001999333,-0.045275443221272665
63183376847407,18,1,0.10031943023204801,0.2006535530090332,-2.8143191337585449,11,24,-4.1000003814697275,-0.52999973297119141,-0.19000332853993832,-0.064502585055896511
63191173439616,19,0,0.073175400495529105,0.22274884581565851,-2.8061478137969966,11,24,-4.1000003814697275,-0.52999973297119141,-0.21033370870255963,-0.073326525184511451
63198980357313,20,0,0.0440402217209339,0.2448441684246063,-2.7980647087097168,11,24,-4.1000003814697275,-0.52999973297119141,-0.23053848116080197,-0.082466208325638057
